Address ,Contract (zkSync Era),Time,,
0x102abdcbd8394e88e34e93ba75ab680a6b235248,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,28:11.0,UTC
0x150c586e27fcde81ba4d98d88e54a114bb3ba716,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,38:47.0,UTC
0x15be1aeb7ede2ff5e6182a830d743144e9474690,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,27:11.0,UTC
0x17249e6818f4f31cee755773e144d822be5181e7,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,13:23.0,UTC
0x1a1b09b93cd7cda66f92f9c1cabcbacd9ef23100,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,18:59.0,UTC
0x1acb0d8ef3d5e69ae330cc9171617a8f432a3646,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,02:23.0,UTC
0x1e720c4f5ed95f30944dfa9308a8010bfd1b913e,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,46:23.0,UTC
0x36c34e678b6201ef4760d5ddb83b15cd88d5a75a,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,44:11.0,UTC
0x3f431e491eade2588a964d40b7cca70e4187e567,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,15:47.0,UTC
0x48b7ef7f917d363c8fc81a8294ec2a872edf65e7,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,58:23.0,UTC
0x4aa78e1afb9d1ab3a87eecf8d154cb1b5ff614ee,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,46:47.0,UTC
0x50bcd1232be70aa303f75d83c8ce8b2e7c69edf7,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,14:23.0,UTC
0x552143fa49dac76af480729935875280287e29fa,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,34:35.0,UTC
0x5733353918434726012fcdbc5e67d151a9fa325d,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,46:59.0,UTC
0x5a3beac2851f0cfcb107bcb400fe965bda517b8b,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,07:59.0,UTC
0x5dc0a2131237a18da95ed3f7e3432507f99743a6,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,58:59.0,UTC
0x65964c3489650f08fe946039c3d6ef23dfa6bc74,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,40:47.0,UTC
0x6931968f4cdd04638a004c3585665158fc141aca,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,18:11.0,UTC
0x71f48a8d70115c6b2b96eed9c6df231f5942f134,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,21:35.0,UTC
0x73d079ccacea970d94226981cef0da0345f8a90e,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,49:11.0,UTC
0x7ac3fe5e381e038a4b67947e90475f564ce60249,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,35:47.0,UTC
0x876f4a52b1258ea96fb8d5b2f3b264e146d8dd39,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,13:35.0,UTC
0x8b8769e684ac0aa535874d910659df131ab52a2e,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,56:11.0,UTC
0x977c36dba0e34688882e6c68d00c8ec9bfcf1cba,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,35:59.0,UTC
0x9a824157543d616b1bd63403289ded1dd605ab71,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,27:35.0,UTC
0xa881c8c58c4131a6eb8c4423e24918db3cab3a75,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,10:23.0,UTC
0xaa94495cf43692a8e2a536664276468594cc54c5,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,01:11.0,UTC
0xaade54f775fb3e82a1f200886d97b1b9b2bf92b4,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,35:23.0,UTC
0xab8487bf6f5031387d9b14074c91b9136fc9d2c3,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,08:11.0,UTC
0xb2a1115c61bca25b5b34cd18b59db8638c52054d,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,45:59.0,UTC
0xc39477f57d1672d9140c02e7c7076f60073b495c,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,08:35.0,UTC
0xc5f6bb2bcb39af9ee95f99d0369c7be661f9b676,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,22:59.0,UTC
0xcb20ff8f774c7824e4d41e3d559efd633619538f,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,24:47.0,UTC
0xcb8273dd19a1db70cf12fc0f44477f9183cc7bf1,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,24:23.0,UTC
0xe415e03c3f11ae4194f72dbbb7f7f081fdecae1e,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,36:59.0,UTC
0xed958149a60e80e429fd4f31f6267aa07c02aca1,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,22:11.0,UTC
0xf91e7911126581091003b95cbfce231a768a0371,0x32400084c286cf3e17e7b677ea9583e60a000324,2023/4/7,39:35.0,UTC
