address,born_chain,born_day,born_time
"0xb2a1115c61bca25b5b34cd18b59db8638c52054d,","eth,","2023-04-02,",15:04:11
"0x552143fa49dac76af480729935875280287e29fa,","eth,","2023-04-02,",15:18:59
"0xcb8273dd19a1db70cf12fc0f44477f9183cc7bf1,","eth,","2023-04-02,",15:14:11
"0x65964c3489650f08fe946039c3d6ef23dfa6bc74,","eth,","2023-04-02,",15:03:23
"0xf91e7911126581091003b95cbfce231a768a0371,","eth,","2023-04-02,",15:20:35
"0x5dc0a2131237a18da95ed3f7e3432507f99743a6,","eth,","2023-04-02,",15:06:23
"0x17249e6818f4f31cee755773e144d822be5181e7,","eth,","2023-04-02,",15:12:23
"0xc5f6bb2bcb39af9ee95f99d0369c7be661f9b676,","eth,","2023-04-02,",14:58:47
"0x102abdcbd8394e88e34e93ba75ab680a6b235248,","eth,","2023-04-02,",15:16:23
"0xc39477f57d1672d9140c02e7c7076f60073b495c,","eth,","2023-04-02,",14:53:11
"0x977c36dba0e34688882e6c68d00c8ec9bfcf1cba,","eth,","2023-04-02,",15:02:23
"0xab8487bf6f5031387d9b14074c91b9136fc9d2c3,","eth,","2023-04-02,",15:08:11
"0x3f431e491eade2588a964d40b7cca70e4187e567,","eth,","2023-04-02,",14:55:59
"0x36c34e678b6201ef4760d5ddb83b15cd88d5a75a,","eth,","2023-04-02,",14:43:47
"0xe415e03c3f11ae4194f72dbbb7f7f081fdecae1e,","eth,","2023-04-02,",14:39:23
"0x71f48a8d70115c6b2b96eed9c6df231f5942f134,","eth,","2023-04-02,",14:36:59
"0x9a824157543d616b1bd63403289ded1dd605ab71,","eth,","2023-04-02,",14:25:23
"0x1acb0d8ef3d5e69ae330cc9171617a8f432a3646,","eth,","2023-04-02,",14:52:23
"0x73d079ccacea970d94226981cef0da0345f8a90e,","eth,","2023-04-02,",14:47:35
"0x7ac3fe5e381e038a4b67947e90475f564ce60249,","eth,","2023-04-02,",14:19:47
"0x8b8769e684ac0aa535874d910659df131ab52a2e,","eth,","2023-04-02,",14:32:35
"0x5733353918434726012fcdbc5e67d151a9fa325d,","eth,","2023-04-02,",14:21:47
"0x4aa78e1afb9d1ab3a87eecf8d154cb1b5ff614ee,","eth,","2023-04-02,",14:10:35
"0x876f4a52b1258ea96fb8d5b2f3b264e146d8dd39,","eth,","2023-04-02,",13:56:23
"0x150c586e27fcde81ba4d98d88e54a114bb3ba716,","eth,","2023-04-02,",14:06:23
"0x15be1aeb7ede2ff5e6182a830d743144e9474690,","eth,","2023-04-02,",14:02:23
"0xcb20ff8f774c7824e4d41e3d559efd633619538f,","eth,","2023-04-02,",14:17:11
"0xaa94495cf43692a8e2a536664276468594cc54c5,","eth,","2023-04-02,",14:14:47
"0x1a1b09b93cd7cda66f92f9c1cabcbacd9ef23100,","eth,","2023-04-02,",14:00:23
"0xa881c8c58c4131a6eb8c4423e24918db3cab3a75,","eth,","2023-04-02,",14:15:47
"0x48b7ef7f917d363c8fc81a8294ec2a872edf65e7,","eth,","2023-04-02,",13:53:47
"0x1e720c4f5ed95f30944dfa9308a8010bfd1b913e,","eth,","2023-04-02,",13:51:59
"0x5a3beac2851f0cfcb107bcb400fe965bda517b8b,","eth,","2023-04-02,",13:44:23
"0xed958149a60e80e429fd4f31f6267aa07c02aca1,","eth,","2023-04-02,",13:47:23
"0xaade54f775fb3e82a1f200886d97b1b9b2bf92b4,","eth,","2023-04-02,",13:48:59
"0x6931968f4cdd04638a004c3585665158fc141aca,","eth,","2023-04-02,",13:45:35
"0x50bcd1232be70aa303f75d83c8ce8b2e7c69edf7,","eth,","2023-04-02,",14:23:59
