Address ,Contract (  zkSync Era),Time
0x029a9f90a32191ab7b543c2f6970d286b86c457b,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 04:56:59.000 UTC
0x0335a3018b1ace8f2e80c193af144fc23b35c34c,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 06:36:47.000 UTC
0x078e2aefff48dccebab0d072439e5e3925f84d77,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 03:26:23.000 UTC
0x07b3c9b13d018f8846802626a36780883b611f7a,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 18:56:47.000 UTC
0x0cc381abfb81b69c3cc3c62be1f7331c5f8cf415,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 01:49:23.000 UTC
0x0dca3051e1f0296fcb798ab5af379b22692aa88b,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 06:28:23.000 UTC
0x0eab74193233352d65942f3a85d9936afd4d9ce7,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 06:28:11.000 UTC
0x0faf31952995f629aea5d74bcfdcae3d09eedee2,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 01:53:11.000 UTC
0x14f88e686d3618cc152afffad43096db48ebd708,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 01:52:47.000 UTC
0x1810d95f1265c374e589e31aeac2a5a14820b282,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 06:31:11.000 UTC
0x1eb49efd2d8aee11e7bfade3922992b4e22f9ba8,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 12:41:35.000 UTC
0x21c9e44c2e11c61152a568e7aede7f92b2dce98b,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 03:26:59.000 UTC
0x23aec23a2b0f9f01c98405d6ca2389b2dc5947ca,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 02:36:47.000 UTC
0x2434251e60a719f77703216b0858156f074c4505,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 01:49:47.000 UTC
0x255fc492e581fab6d11ddf1e37b47b73f50de43c,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 04:57:23.000 UTC
0x294cf3600433c8dd194a28647b68131c0d13c557,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 04:56:59.000 UTC
0x2dea36d3354ab286c324d2b1b1e268dd8cc711eb,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 18:58:11.000 UTC
0x31f860ba86996baf884921ca996a23a2508f1c41,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 06:24:47.000 UTC
0x33799f9cc8d2c2c1fa1bb7eec12b203549198823,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 03:26:59.000 UTC
0x37df9eb86b8a0c3350ebe47303dbbf9b6b328500,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 12:39:11.000 UTC
0x39a8577b398966bfadf9e84a9469e036a06a7c96,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 01:52:11.000 UTC
0x3bbc16a84cf86879f6d68ba28bbad43e8b7c8876,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 01:54:35.000 UTC
0x41e78fa59ac3f6a69ef84572b59ca51db1ca3779,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 06:26:47.000 UTC
0x422213c99504e7936ce1713f2fe37fde2a2f45c7,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 06:26:59.000 UTC
0x445f92e461d6e2fcf040a58a456b0026d3598e78,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 03:27:23.000 UTC
0x4c901b9083a93031258f1444434ae2de1be054d2,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 01:50:23.000 UTC
0x4fd399d1c2c84428d8b69172476f5f6492e4f4ba,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 12:36:23.000 UTC
0x5061509611c302f2d135491ba9d6aa1660f308d3,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 12:36:35.000 UTC
0x50b467f67853e82da56e691d6684f79b4233b509,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 12:37:47.000 UTC
0x513bea42c706258311ea6e50f7eea88ccca37341,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 06:37:11.000 UTC
0x555ace3f791f2532b1f4c5b0e4d3fe0504f78153,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 12:40:47.000 UTC
0x5753f985ceb3fc875dcf962cd0a41f62aa2f497e,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 06:29:35.000 UTC
0x5cca5e41a4263be51aaf2d9657794f08aa378f98,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 01:52:59.000 UTC
0x643f082cf01233d2f7a335da827b3547c83fb511,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 01:52:23.000 UTC
0x64820528c3eb0f35300baa8a010e04299ea2f627,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 12:38:11.000 UTC
0x6684d2f09389beed5f8fc4752eed20e4a0c338d4,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 03:26:47.000 UTC
0x69c7c4e473a46b2d87a179095940017aa5cc21c5,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 18:58:23.000 UTC
0x6b4f3db24ba804c806fdd13f5b07475add755ac9,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 12:35:47.000 UTC
0x764023fbcb87c7527af3220cd1c355a45cc0b1d8,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 01:56:59.000 UTC
0x798f33e42d8e0e8986a1eef8c00f03fddb5d4a0d,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 01:50:59.000 UTC
0x7ab0f095f704f07f0fef8642c7c62704abebd100,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 06:26:23.000 UTC
0x7c262833d905be91062ad0c9dc1c7401470774d8,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 12:41:23.000 UTC
0x7cd3110222e8719b124950d8d9c6e52ceae6aac6,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 06:35:23.000 UTC
0x7e6c61cefc5e689aa50e4820e14377a25d5a9063,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 18:55:47.000 UTC
0x80257338634c7f8fc068605371413f7c4fcc9846,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 12:38:35.000 UTC
0x8276465c07ec5b144779147705b4a2432cb872a5,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-17 18:57:59.000 UTC
0x8391cb1a46ac49987a9b4937824552a43bafe66a,0x32400084c286cf3e17e7b677ea9583e60a000324,2023-04-18 04:57:11.000 UTC
