Address ,born_chain,born_time,value
0x255fc492e581fab6d11ddf1e37b47b73f50de43c,born_chain: eth,born_time: 2023-04-17 14:22:23,usd: 2334.9645841188726
0x8391cb1a46ac49987a9b4937824552a43bafe66a,born_chain: eth,born_time: 2023-04-17 14:22:11,usd: 2105.240140823661
0x89787b691fde4c83be732ec30d3300116c4edbc8,born_chain: eth,born_time: 2023-04-17 14:21:59,usd: 2322.6807217887963
0x029a9f90a32191ab7b543c2f6970d286b86c457b,born_chain: eth,born_time: 2023-04-17 14:21:47,usd: 2402.810266812575
0x294cf3600433c8dd194a28647b68131c0d13c557,born_chain: eth,born_time: 2023-04-17 14:21:35,usd: 2336.4517786834
0xc4d7500eb604a5db80afff25279228d41909f613,born_chain: eth,born_time: 2023-04-17 14:21:23,usd: 2367.0120579925524
0xad3b5842865ccc092b436710dc05fab96b624d95,born_chain: eth,born_time: 2023-04-17 14:21:11,usd: 3031.1047075479937
0x8b508eff05e6f39219ba1f874790c7e3ca0b234d,born_chain: eth,born_time: 2023-04-17 14:20:47,usd: 2343.3198631031064
0x078e2aefff48dccebab0d072439e5e3925f84d77,born_chain: eth,born_time: 2023-04-17 14:20:47,usd: 2327.813516360109
0xae511ed3edae9f0be5377e4fde4d8d4a149ad3f9,born_chain: eth,born_time: 2023-04-17 14:20:11,usd: 2350.511177228665
0x6684d2f09389beed5f8fc4752eed20e4a0c338d4,born_chain: eth,born_time: 2023-04-17 14:19:59,usd: 2357.3012141391796
0xc064905743e9422cdd3382d814aa0033922456fe,born_chain: eth,born_time: 2023-04-17 14:19:47,usd: 2376.485983179672
0x33799f9cc8d2c2c1fa1bb7eec12b203549198823,born_chain: eth,born_time: 2023-04-17 14:19:35,usd: 2340.9795260402466
0x21c9e44c2e11c61152a568e7aede7f92b2dce98b,born_chain: eth,born_time: 2023-04-17 14:19:23,usd: 2340.722190996621
0x445f92e461d6e2fcf040a58a456b0026d3598e78,born_chain: eth,born_time: 2023-04-17 14:19:11,usd: 2389.2618857450348
0xe9b479261d3fc47626a0bf5c9404d21fe3daf803,born_chain: eth,born_time: 2023-04-17 14:18:59,usd: 2371.012642997387
0xdfa65933437b8d730ca8d89b646d7be4fa546d9c,born_chain: eth,born_time: 2023-04-17 14:18:47,usd: 2374.781545906715
0x0cc381abfb81b69c3cc3c62be1f7331c5f8cf415,born_chain: eth,born_time: 2023-04-17 14:18:23,usd: 2708.354438957908
0x9870c3110507bc0181881d797e88b6fcdd1f7fa0,born_chain: eth,born_time: 2023-04-17 14:18:11,usd: 2336.985659227368
0x3bbc16a84cf86879f6d68ba28bbad43e8b7c8876,born_chain: eth,born_time: 2023-04-17 14:17:35,usd: 2696.2797137017205
0xbacba849244c2c128e213ca8478922c582b109db,born_chain: eth,born_time: 2023-04-17 14:17:23,usd: 2373.9038308180925
0x23aec23a2b0f9f01c98405d6ca2389b2dc5947ca,born_chain: eth,born_time: 2023-04-17 14:17:23,usd: 2724.6614167177745
0x764023fbcb87c7527af3220cd1c355a45cc0b1d8,born_chain: eth,born_time: 2023-04-17 14:16:59,usd: 2346.852896917436
0xc702e82f91e8599bb4bb404f65af5711fb4085de,born_chain: eth,born_time: 2023-04-17 14:16:47,usd: 2685.556899301126
0x14f88e686d3618cc152afffad43096db48ebd708,born_chain: eth,born_time: 2023-04-17 14:16:35,usd: 2703.0024277664324
0x89c6ef4ba5c26de9d8ef293509489b951c9356a5,born_chain: eth,born_time: 2023-04-17 14:16:35,usd: 2697.4781161728615
0x643f082cf01233d2f7a335da827b3547c83fb511,born_chain: eth,born_time: 2023-04-17 14:16:11,usd: 2766.9556682145085
0xec03184e2c8de980b86df2668ae9d41c5cb0715e,born_chain: eth,born_time: 2023-04-17 14:15:23,usd: 2361.0531441086373
0x39a8577b398966bfadf9e84a9469e036a06a7c96,born_chain: eth,born_time: 2023-04-17 14:15:11,usd: 2357.6309683660106
0x0faf31952995f629aea5d74bcfdcae3d09eedee2,born_chain: eth,born_time: 2023-04-17 14:12:59,usd: 2378.5197510669295
0x5cca5e41a4263be51aaf2d9657794f08aa378f98,born_chain: eth,born_time: 2023-04-17 14:12:47,usd: 2349.116484935212
0xf4d4a49f08820b9e0dc929dc78f5127c4c362710,born_chain: eth,born_time: 2023-04-17 14:12:35,usd: 2373.9430704998877
0xb0b1ca9aa7ccbec3cf4bdb156a1cdffdcfeff939,born_chain: eth,born_time: 2023-04-17 14:12:23,usd: 2397.2594205358955
0xdfdbebd71adaa2b8150b1833c033b58db003d169,born_chain: eth,born_time: 2023-04-17 14:12:11,usd: 2374.111409844687
0x798f33e42d8e0e8986a1eef8c00f03fddb5d4a0d,born_chain: eth,born_time: 2023-04-17 14:11:59,usd: 2383.783884908593
0x4c901b9083a93031258f1444434ae2de1be054d2,born_chain: eth,born_time: 2023-04-17 14:11:47,usd: 2520.7124259265483
0x2434251e60a719f77703216b0858156f074c4505,born_chain: eth,born_time: 2023-04-17 14:11:35,usd: 2364.5421696585663
0x69c7c4e473a46b2d87a179095940017aa5cc21c5,born_chain: eth,born_time: 2023-04-17 14:11:23,usd: 2397.7746317877936
0x2dea36d3354ab286c324d2b1b1e268dd8cc711eb,born_chain: eth,born_time: 2023-04-17 14:10:59,usd: 2389.5600773007736
0x8276465c07ec5b144779147705b4a2432cb872a5,born_chain: eth,born_time: 2023-04-17 14:10:59,usd: 2345.918742458538
0xe4c043669a1adc28b114ce50f055588a3dc94a0b,born_chain: eth,born_time: 2023-04-17 14:10:47,usd: 2376.670391977249
0x07b3c9b13d018f8846802626a36780883b611f7a,born_chain: eth,born_time: 2023-04-17 14:10:23,usd: 2425.011220262885
0x7e6c61cefc5e689aa50e4820e14377a25d5a9063,born_chain: eth,born_time: 2023-04-17 14:09:59,usd: 2431.2227255139446
0xad1a9667251f24558cf4f1b05e2a1bedf072ec32,born_chain: eth,born_time: 2023-04-17 14:09:59,usd: 2406.486385672291
0xa91fb70270cc623bbaecfba8c557c56e174734e4,born_chain: eth,born_time: 2023-04-17 14:09:59,usd: 2372.0958201057406
0x8c69a44782e1075e595d211a0c99aea44f789eab,born_chain: eth,born_time: 2023-04-17 14:09:35,usd: 2379.95947424916
0xe3ac28cd3bc471f5f5150c76e0ec2b523fca459a,born_chain: eth,born_time: 2023-04-17 14:09:11,usd: 2402.257888063043
0xec21f92f80540c51afce74ae264957f65239c9ec,born_chain: eth,born_time: 2023-04-17 14:08:59,usd: 2396.119892381651
0xbf769f2c77003b4e588264544935c08fe4ddfe87,born_chain: eth,born_time: 2023-04-17 14:08:59,usd: 2372.374687259258
