address ,Time of first entry,First entry amount,First entry amount
0x0369fd56e4a4f1473507f3324f5845491dc45909,2023-04-09 16:57:35.000 UTC,5.2151E+16,0.052151
0x03e60cebb475176d8fcb82a9ac1b61db9d839b52,2023-04-09 19:35:47.000 UTC,5.2336E+16,0.052336
0x050b5cc111e390b8d87d78d326f80f32dda43097,2023-04-09 15:33:59.000 UTC,5.0631E+16,0.050631
0x0547e9af57c4dc3c5942348ecf0bb109a8c8a077,2023-04-09 16:38:47.000 UTC,5.2914E+16,0.052914
0x0685b79868c521c8f6dffbbb6031a2cc056687c8,2023-04-09 14:20:35.000 UTC,5.2194E+16,0.052194
0x0693821e9d32e81cab2b6a3b8e1b59c8e2cb2935,2023-04-09 15:19:23.000 UTC,5.1409E+16,0.051409
0x082b5cd403843198ccfa787a759e6459fa4574fd,2023-04-09 20:40:47.000 UTC,5.1705E+16,0.051705
0x0a16675b0a26b4ee0d06584fd8ac7988db9dea8f,2023-04-09 14:15:11.000 UTC,5.2541E+16,0.052541
0x0c77abd2b52e819a389e9e19250f48212e8a9693,2023-04-09 20:18:59.000 UTC,5.1664E+16,0.051664
0x0d6e901e17ad861984972718956803987aab0afe,2023-04-09 12:41:23.000 UTC,5.2354E+16,0.052354
0x0e475595e9caa44c83a331b59af8300c12a4b8c4,2023-04-09 20:50:59.000 UTC,5.1978E+16,0.051978
0x1107a483569865d2d5780490c078b395d1d71686,2023-04-09 19:20:59.000 UTC,5.0912E+16,0.050912
0x117a8a16aa86eae48096fce25eba371ff8fd0314,2023-04-09 20:45:59.000 UTC,5.2172E+16,0.052172
0x11b74cb2ab766f95dc20f7361727fda1fde4f406,2023-04-09 16:09:47.000 UTC,5.0803E+16,0.050803
0x133ca73d639fa099cc27aa6db9ebbfba1b4bbd90,2023-04-09 17:31:59.000 UTC,5.0146E+16,0.050146
0x13aafeae6851b92a442b8e0596850e8bd27a67aa,2023-04-09 19:36:35.000 UTC,5.1369E+16,0.051369
0x14cdf7e5722fd2fb8d71d188fea7e30b4ca66a0d,2023-04-09 17:20:59.000 UTC,5.0742E+16,0.050742
0x16693f8c424e51b7890b718c2711b06a688f6271,2023-04-09 18:00:11.000 UTC,5.2238E+16,0.052238
0x19af92dd703bbbc599b0f583c5f9efe0fbe9e6dc,2023-04-09 15:11:23.000 UTC,5.0418E+16,0.050418
0x19e914ccf796aab12ec5ae3eba2a57e53a6955ba,2023-04-09 11:57:23.000 UTC,5.2548E+16,0.052548
0x1eb72b636854b4256c79945b4f5bb1e340c45263,2023-04-09 15:20:59.000 UTC,5.2624E+16,0.052624
0x23466b7dca3c30aa11ca592b04fed8370334abc5,2023-04-09 18:51:47.000 UTC,5.2936E+16,0.052936
0x26756abb09ece065b851de1ffe9ab6868579c90e,2023-04-09 18:54:47.000 UTC,5.0137E+16,0.050137
0x2a27f1c0078ad73ae73bc86b451cfdabe0ce4fef,2023-04-09 15:53:35.000 UTC,5.0415E+16,0.050415
